collection,variable,type,size_kb_per_event,doc
HLT,HLT_AK8PFJet275_Nch45,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet275_SoftDropMass40_PNetBB0p06,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet275_SoftDropMass40_PNetBB0p10,bool,0.0001865234375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p03,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet275_SoftDropMass40_PNetTauTau0p05,bool,0.0001904296875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet320,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet380_SoftDropMass30,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet40,bool,0.00034765625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet400,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet400_SoftDropMass30,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet425_SoftDropMass30,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet450,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet450_SoftDropMass30,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet500,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet550,bool,0.0001611328125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet60,bool,0.00030078125,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJet80,bool,0.00021484375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd140,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd200,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd260,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd320,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd40,bool,0.0003388671875,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd400,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd450,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd500,bool,0.0001640625,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd60,bool,0.0002177734375,Trigger/flag bit (process: HLT)
HLT,HLT_AK8PFJetFwd80,bool,0.0001748046875,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4DiJet110_Mu5,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4DiJet170_Mu5,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4DiJet20_Mu5,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4DiJet40_Mu5,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4DiJet70_Mu5,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK4Jet300_Mu5,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK8DiJet170_Mu5,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK8Jet170_DoubleMu5,bool,0.00017578125,Trigger/flag bit (process: HLT)
HLT,HLT_BTagMu_AK8Jet300_Mu5,bool,0.000169921875,Trigger/flag bit (process: HLT)
HLT,HLT_CDC_L2cosmic_10_er1p0,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_CDC_L2cosmic_5p5_er1p0,bool,0.000171875,Trigger/flag bit (process: HLT)
HLT,HLT_CaloJet500_NoJetID,bool,0.00016796875,Trigger/flag bit (process: HLT)
HLT,HLT_CaloJet550_NoJetID,bool,0.00016796875,Trigger/flag bit (process: HLT)
HLT,HLT_CaloMET350_NotCleaned,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_CaloMET60_DTCluster50,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_CaloMET60_DTClusterNoMB1S50,bool,0.0001767578125,Trigger/flag bit (process: HLT)
HLT,HLT_CaloMET90_NotCleaned,bool,0.000189453125,Trigger/flag bit (process: HLT)
HLT,HLT_CaloMHT90,bool,0.0001708984375,Trigger/flag bit (process: HLT)
HLT,HLT_CascadeMu100,bool,0.000162109375,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster100_Ele5,bool,0.00016796875,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster100_Mu5,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster100_PNetTauhPFJet10_Loose,bool,0.0001845703125,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster50_Photon20Unseeded,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster50_Photon30Unseeded,bool,0.0001787109375,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster_Loose,bool,0.000166015625,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster_Medium,bool,0.0001669921875,Trigger/flag bit (process: HLT)
HLT,HLT_CscCluster_Tight,bool,0.000166015625,Trigger/flag bit (process: HLT)
HLT,HLT_DiEle27_WPTightCaloOnly_L1DoubleEG,bool,0.00018359375,Trigger/flag bit (process: HLT)
